,0
0,whether
1,crimean
2,crisis
3,heralds
4,new
5,era
6,international
7,relations
8,clearly
9,pivotal
10,moment
11,russia
12,relationship
13,west
14,world
15,balances
16,power
17,shifting
18,though
19,united
20,states
21,remains
22,unrivalled
23,sheer
24,power
25,close
26,borders
27,rising
28,china
29,increasingly
30,assertive
31,russia
32,allegedly
33,emboldened
34,obama
35,vacillations
36,syria
37,ukraine
38,grey
39,areas
40,emerging
41,states
42,vulnerable
43,revisionist
44,powers
45,alarmed
46,obama
47,hands
48,approach
49,policy
50,neutralism
51,appears
52,increasingly
53,worthy
54,revival
55,neutralism
56,defined
57,cold
58,war
59,foreign
60,policy
61,pioneered
62,finland
63,later
64,adopted
65,josip
66,tito
67,yugoslavia
68,following
69,split
70,stalin
71,geographically
72,sandwiched
73,two
74,antagonistic
75,blocs
76,neutralism
77,prescribed
78,balanced
79,relationships
80,side
81,neutral
82,states
83,reaped
84,rewards
85,otherwise
86,reserved
87,paid
88,members
89,either
90,bloc
91,enjoyed
92,modicum
93,security
94,knowing
95,blocs
96,considered
97,mutual
98,neighbour
99,neutralism
100,preferable
101,defection
102,side
103,sense
104,yugoslavia
105,archetypal
106,tito
107,split
108,stalin
109,volcanic
110,none
111,foresaw
112,rapprochement
113,one
114,exchange
115,featured
116,tito
117,imploring
118,stalin
119,stop
120,sending
121,people
122,kill
123,teasing
124,paranoia
125,stop
126,sending
127,killers
128,wrote
129,send
130,one
131,moscow
132,send
133,second
134,yugoslavia
135,ensuing
136,isolation
137,saw
138,economy
139,decimated
140,soviet
141,embargo
142,nevertheless
143,seeing
144,yugoslavia
145,thorn
146,flesh
147,communist
148,unity
149,trade
150,deficits
151,quickly
152,soaked
153,economy
154,kept
155,afloat
156,generous
157,western
158,loans
159,balkan
160,pact
161,yugoslavia
162,became
163,entwined
164,two
165,nato
166,members
167,greece
168,turkey
169,thus
170,affording
171,relief
172,real
173,threat
174,soviet
175,intervention
176,without
177,necessitating
178,formal
179,nato
180,membership
181,rapprochement
182,new
183,khrushchеv
184,regime
185,possible
186,ostensibly
187,socialist
188,yugoslavia
189,prospered
190,grey
191,area
192,messianic
193,empires
194,lynchpin
195,neutralism
196,blocs
197,needed
198,interest
